zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info2String,info6String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,variableData.type,variableData.text,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,variableData.data.isRead,variableData.data.isFresh,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,builderName,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.unit
85585467,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4b5af5379bc772619e3794f4ac0eb79a-p_e.jpg,True,/homedetails/3811-S-Claybridge-Dr-Bloomington-IN-47401/85585467_zpid/,FOR_SALE,House for sale,"$365,000",$365K,"3811 S Claybridge Dr, Bloomington, IN 47401",4,3.0,2072,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing provided by IRMLS,Natasha Johns,Williams Carpenter Realtors,277083000,39.126404,-86.5065,85585467,3811 S Claybridge Dr,47401,Bloomington,IN,39.126404,-86.5065,365000.0,3.0,4.0,2072.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,364000.0,2647.0,True,False,False,FOR_SALE,365000.0,277083000,True,False,False,USD,USA,304500.0,5227.2,sqft,False,,,,,,,,,,,,
85584050,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/0578f229b241cefe75aafc333882aeb5-p_e.jpg,True,/homedetails/3864-S-Bainbridge-Dr-Bloomington-IN-47401/85584050_zpid/,FOR_SALE,House for sale,"$525,000",$525K,"3864 S Bainbridge Dr, Bloomington, IN 47401",4,4.0,3062,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing provided by IRMLS,Theresa Sicinski,RE/MAX Acclaimed Properties,282904000,39.127186,-86.51633,85584050,3864 S Bainbridge Dr,47401,Bloomington,IN,39.127186,-86.51633,525000.0,4.0,4.0,3062.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,523900.0,2646.0,True,False,False,FOR_SALE,525000.0,282904000,True,False,False,USD,USA,511000.0,0.59,acres,False,,,,,,,,,,,,
115587544,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/42560ddfe9b6ddff4672dfce1a568e0a-p_e.jpg,True,/homedetails/901-W-Cardinal-Ct-Bloomington-IN-47403/115587544_zpid/,FOR_SALE,House for sale,"$264,900",$265K,"901 W Cardinal Ct, Bloomington, IN 47403",3,2.0,1140,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,Listing provided by IRMLS,Kaity Sandes,The Indiana Team LLC,347724000,39.143925,-86.543884,115587544,901 W Cardinal Ct,47403,Bloomington,IN,39.143925,-86.543884,264900.0,2.0,3.0,1140.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,264300.0,1650.0,True,False,False,FOR_SALE,264900.0,347724000,True,False,False,USD,USA,182200.0,7840.799999999999,sqft,False,3D_HOME,3D Tour,,,,,,,,,,
94515218,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8e7edfd6d4441068ce1389101972a859-p_e.jpg,True,/homedetails/1419-W-12th-St-Bloomington-IN-47404/94515218_zpid/,FOR_SALE,House for sale,"$100,000",$100K,"1419 W 12th St, Bloomington, IN 47404",3,1.0,1275,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing provided by IRMLS,Ryne Shadday,Century 21 Scheetz - Bloomington,357634000,39.174015,-86.55135,94515218,1419 W 12th St,47404,Bloomington,IN,39.174015,-86.55135,100000.0,1.0,3.0,1275.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,98000.0,1597.0,True,False,False,FOR_SALE,100000.0,357634000,True,False,False,USD,USA,89300.0,4356.0,sqft,False,,,,,,,,,,,,
85588574,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e7ce3001ad9f2a3e59499bab8e08bb81-p_e.jpg,True,/homedetails/4025-W-Stapleton-Ave-Bloomington-IN-47403/85588574_zpid/,FOR_SALE,House for sale,"$275,000",$275K,"4025 W Stapleton Ave, Bloomington, IN 47403",3,2.0,1352,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,Listing provided by IRMLS,Laura Stevens,The Indiana Team LLC,450683000,39.138157,-86.58394,85588574,4025 W Stapleton Ave,47403,Bloomington,IN,39.138157,-86.58394,275000.0,2.0,3.0,1352.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,273400.0,1700.0,True,False,False,FOR_SALE,275000.0,450683000,True,False,False,USD,USA,176300.0,9147.6,sqft,False,3D_HOME,3D Tour,,,,,,,,,,
85581617,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/bfd57e17bd8979691971d63e203755db-p_e.jpg,True,/homedetails/4407-S-Eagleview-Dr-Bloomington-IN-47403/85581617_zpid/,FOR_SALE,House for sale,"$419,000",$419K,"4407 S Eagleview Dr, Bloomington, IN 47403",4,4.0,2786,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing provided by IRMLS,Lindsey Norris,Century 21 Scheetz - Bloomington,284047000,39.1177,-86.54553,85581617,4407 S Eagleview Dr,47403,Bloomington,IN,39.1177,-86.54553,419000.0,4.0,4.0,2786.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,True,False,False,FOR_SALE,419000.0,284047000,True,False,False,USD,USA,397500.0,0.44,acres,False,,,,,,,,,,,,
85582082,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/72c79b1f73a3de888fd57bd8564e8ba4-p_e.jpg,True,/homedetails/717-W-Ralston-Dr-Bloomington-IN-47403/85582082_zpid/,FOR_SALE,House for sale,"$229,000",$229K,"717 W Ralston Dr, Bloomington, IN 47403",2,1.0,836,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing provided by IRMLS,Lindsey Norris,Century 21 Scheetz - Bloomington,285239000,39.13825,-86.54181,85582082,717 W Ralston Dr,47403,Bloomington,IN,39.13825,-86.54181,229000.0,1.0,2.0,836.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,True,False,False,FOR_SALE,229000.0,285239000,True,False,False,USD,USA,144400.0,0.26,acres,False,,,,,,,,,,,,
94515184,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cff060c245c217b85bd4e43d95eab34f-p_e.jpg,True,/homedetails/412-E-Audubon-Dr-Bloomington-IN-47408/94515184_zpid/,FOR_SALE,House for sale,"$435,000",$435K,"412 E Audubon Dr, Bloomington, IN 47408",3,3.0,2895,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing provided by IRMLS,Sally Baird,Sterling Real Estate,208245000,39.212746,-86.52924,94515184,412 E Audubon Dr,47408,Bloomington,IN,39.212746,-86.52924,435000.0,3.0,3.0,2895.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,432600.0,1900.0,True,False,False,FOR_SALE,435000.0,208245000,True,False,False,USD,USA,275600.0,0.41,acres,False,,,,,,,,,,,,
339779999,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cd4d71cefc3d38c81daadcf434542ca0-p_e.jpg,True,/homedetails/7433-W-Upland-Dr-Bloomington-IN-47404/339779999_zpid/,FOR_SALE,House for sale,"$369,000",$369K,"7433 W Upland Dr, Bloomington, IN 47404",3,2.0,1623,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing provided by IRMLS,Cortney Walcott,Century 21 Scheetz - Bloomington,193217000,39.223232,-86.637,339779999,7433 W Upland Dr,47404,Bloomington,IN,39.223232,-86.637,369000.0,2.0,3.0,1623.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,368200.0,1999.0,True,False,False,FOR_SALE,369000.0,193217000,True,False,False,USD,USA,308600.0,0.3,acres,False,,,,,,,,,,,,
85590914,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/523f2767ec7f30b2173378da4d45004d-p_e.jpg,True,/homedetails/711-S-Westwood-Dr-Bloomington-IN-47403/85590914_zpid/,FOR_SALE,House for sale,"$199,900",$200K,"711 S Westwood Dr, Bloomington, IN 47403",3,2.0,1460,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing provided by IRMLS,Micah Heath,Keller Williams - Indy Metro South LLC,1538573000,39.1608,-86.58972,85590914,711 S Westwood Dr,47403,Bloomington,IN,39.1608,-86.58972,199900.0,2.0,3.0,1460.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,194800.0,1599.0,True,False,False,FOR_SALE,199900.0,1538573000,True,False,False,USD,USA,223400.0,9583.2,sqft,False,,,,,,,,,,,,
